ProvinceID:ID,Name,:LABEL
p1,河南,Province
p2,天津,Province
p3,海南,Province
p4,江苏,Province
p5,陕西,Province
p6,青海,Province
p7,澳门,Province
p8,香港,Province
p9,上海,Province
p10,山西,Province
p11,江西,Province
p12,黑龙江,Province
p13,浙江,Province
p14,贵州,Province
p15,西藏,Province
p16,山东,Province
p17,河北,Province
p18,辽宁,Province
p19,福建,Province
p20,新疆,Province
p21,湖北,Province
p22,湖南,Province
p23,吉林,Province
p24,广东,Province
p25,北京,Province
p26,台湾,Province
p27,重庆,Province
p28,安徽,Province
p29,广西,Province
p30,甘肃,Province
p31,宁夏,Province
p32,云南,Province
p33,四川,Province
p34,内蒙古,Province
p35,港澳台侨,Province
