Province:ID,Name,:LABEL
p1,河南,province
p2,天津,province
p3,海南,province
p4,江苏,province
p5,陕西,province
p6,青海,province
p7,澳门,province
p8,香港,province
p9,上海,province
p10,山西,province
p11,江西,province
p12,黑龙江,province
p13,浙江,province
p14,贵州,province
p15,西藏,province
p16,山东,province
p17,河北,province
p18,辽宁,province
p19,福建,province
p20,新疆,province
p21,湖北,province
p22,湖南,province
p23,吉林,province
p24,广东,province
p25,北京,province
p26,台湾,province
p27,重庆,province
p28,安徽,province
p29,广西,province
p30,甘肃,province
p31,宁夏,province
p32,云南,province
p33,四川,province
p34,内蒙古,province
p35,港澳台侨,province
